% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  117   722.500  244.920   6.782E-02   3.078E-02
  118   723.125  247.119   4.576E-02   1.319E-02
  119   723.750  244.263   5.982E-02   2.490E-02
  120   724.375  248.034   3.307E-02   5.904E-03
  121   725.000  247.311   7.877E-02   3.077E-03
  122   725.625  244.572   8.759E-02   8.005E-03
  123   726.250  248.050   3.232E-02   7.795E-03
  124   726.875  242.714   3.578E-02  -1.068E-03
  125   727.500  245.257   3.585E-02   1.351E-02
  126   728.125  244.167   4.663E-02   4.866E-03
  127   728.750  239.405   5.849E-02  -6.849E-03
  128   729.375  241.913   7.822E-02   3.293E-03
  129   730.000  238.405   1.182E-01   2.158E-02
  130   730.625  240.895   1.717E-01   1.201E-01
  131   731.250  240.801   6.468E-02  -6.624E-03
  132   731.875  240.812   5.162E-02  -1.169E-02
  133   732.500  244.948   4.041E-02   1.642E-02
  134   733.125  240.935   5.613E-02   1.009E-02
  135   733.750  244.504   3.567E-02  -3.942E-04
  136   734.375  243.278   5.602E-02   2.531E-02
  137   735.000  242.418   5.118E-02  -9.916E-03
  138   735.625  245.552   4.728E-02  -1.598E-02
  139   736.250  241.301   4.709E-02  -1.623E-03
  140   736.875  244.852   3.785E-02   1.055E-02
  141   737.500  243.445   5.489E-02   1.267E-02
  142   738.125  244.802   4.410E-02   6.560E-03
  143   738.750  246.608   4.198E-02   5.068E-03
  144   739.375  243.336   5.168E-02  -5.935E-04
  145   740.000  245.694   5.062E-02   9.409E-03
  146   740.625  238.911   8.978E-02   9.616E-03
  147   741.250  233.854   1.397E-01   4.897E-03
  148   741.875  237.866   1.923E-01  -9.772E-03
